baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG	GeneName	Function
2572.7800929858504	-1.3594303638936815	0.07747680870800186	-17.54628754802182	6.349729252370458e-69	6.182255143339187e-66	ENSG00000177830	CHID1	protein-coding
9633.984423504784	-0.8013272714617872	0.0479149858259776	-16.723938401487317	8.772541599694551e-63	8.038744296473042e-60	ENSG00000164742	ADCY1	protein-coding
10598.439471666332	-0.9313982592509394	0.05573068066507916	-16.712486697377688	1.063083522375393e-62	9.20039728420215e-60	ENSG00000152127	MGAT5	protein-coding
8372.607210877963	-0.6330581197810377	0.038048175820854395	-16.63833038308384	3.677290242472317e-62	3.0149909156438823e-59	ENSG00000145907	G3BP1	protein-coding
44917.85753623586	-0.47386142918810403	0.028533815374755148	-16.607012520566933	6.200521007311075e-62	4.829585812594596e-59	ENSG00000187514	PTMA	protein-coding
10908.600049024744	-0.6225087045378109	0.03761507764932059	-16.54944621785341	1.6158209976313624e-61	1.1986314048143507e-58	ENSG00000125170	DOK4	protein-coding
10408.888334189058	-0.8733497780161928	0.05541470746456566	-15.760252430722423	5.839926164595636e-56	4.1351986269123106e-53	ENSG00000125970	RALY	protein-coding
11969.494302295723	0.6257153942610303	0.039803177646246926	15.72023720875033	1.0991141708848231e-55	7.444348066975555e-53	ENSG00000144366	GULP1	protein-coding
2108.9804381881377	-1.1549190824549327	0.07376527015127905	-15.656678001536568	2.9911847718696815e-55	1.9415281823410793e-52	ENSG00000003989	SLC7A2	protein-coding
5205.386434914247	-0.8526192716102465	0.0547166614230022	-15.582443252866595	9.58211377514425e-55	5.970806735567885e-52	ENSG00000162889	MAPKAPK2	protein-coding
2521.5933353351	-0.9563388448981923	0.06271589108709115	-15.248748416412697	1.6781912593671834e-52	1.0054947476316148e-49	ENSG00000167414	GNG8	protein-coding
3413.522600588622	-0.8471219300819101	0.0563455490764099	-15.034407224129318	4.369420895372388e-51	2.5209940262263357e-48	ENSG00000137414	FAM8A1	protein-coding
2934.453380338138	-0.8398843050090496	0.05648713170986719	-14.868595370055555	5.270759970263907e-50	2.9324249577418267e-47	ENSG00000165304	MELK	protein-coding
1302.8324375015932	5.6338920498100595	0.38102267727727857	14.786238157972294	1.797216640778402e-49	9.654152010360672e-47	ENSG00000116299	ELAPOR1	protein-coding
3536.8468969866094	-0.9371566315812281	0.06344802518751458	-14.770461788393748	2.271512346542562e-49	1.1795206444813343e-46	ENSG00000169139	UBE2V2	protein-coding
1155.5331463498196	-1.3764639811635155	0.09460873004485049	-14.549016570785646	5.924868013260451e-48	2.977341739050687e-45	ENSG00000171105	INSR	protein-coding
9849.17318637241	0.5489774910601599	0.0384152567393323	14.290611013880778	2.504027665295135e-46	1.218991967811488e-43	ENSG00000148848	ADAM12	protein-coding
15554.381865968064	-0.4851061314195334	0.03408295638748442	-14.233100142617586	5.709354857634629e-46	2.695161514310068e-43	ENSG00000165732	DDX21	protein-coding
273.0117953911442	8.711186607840611	0.6133843985417866	14.20183921950073	8.923915364666592e-46	4.088728045611064e-43	ENSG00000262633	NA	NA
5680.4631514225	-0.6974914411277721	0.049184288163004096	-14.181184015842234	1.1980792111608653e-45	5.332479414703989e-43	ENSG00000172667	ZMAT3	protein-coding
3389.1413373473333	-0.8022466624016426	0.056845140549074004	-14.112845084956184	3.165449259204834e-45	1.3697602377748031e-42	ENSG00000116729	WLS	protein-coding
332.6634601884218	2.094906706970276	0.149346526025526	14.02715391325687	1.0633400818893227e-44	4.4769491339653704e-42	ENSG00000258839	MC1R	protein-coding
6487.207866682366	-0.7452800098953059	0.053726875643530694	-13.871642468847819	9.409714871574635e-44	3.8574878491944653e-41	ENSG00000154319	FAM167A	protein-coding
4093.870887581496	0.8036987720193028	0.05870414286512743	13.690665305612214	1.1544732920285759e-42	4.6113807546720914e-40	ENSG00000140937	CDH11	protein-coding
9298.213853884034	-0.6292978798052098	0.045995398243359756	-13.681757389633212	1.305001164918523e-42	5.0823270367751875e-40	ENSG00000138757	G3BP2	protein-coding
67426.5089137996	0.4285547563162788	0.031348007050772064	13.670877246587962	1.515569810356038e-42	5.7584259770064286e-40	ENSG00000164099	PRSS12	protein-coding
5767.516405307194	-0.8064898673148694	0.05982550850254973	-13.480702253964079	2.0316386049862234e-41	7.535444330589379e-39	ENSG00000139146	SINHCAF	protein-coding
5129.153542469055	-0.6620776104603884	0.049279251363358555	-13.435220547053081	3.759466020595348e-41	1.361975852763589e-38	ENSG00000213626	LBH	protein-coding
2894.545089041008	-0.7782753131031651	0.05815546956315543	-13.38266751088609	7.635698937339079e-41	2.703384501042459e-38	ENSG00000181090	EHMT1	protein-coding
10499.395600680828	-0.4853073958204459	0.037094986793909115	-13.082829723506787	4.127823733470905e-39	1.428960847111328e-36	ENSG00000119772	DNMT3A	protein-coding
5447.016706005003	0.7258824164371489	0.05578641753704374	13.011812704322566	1.0482561717525052e-38	3.549942313817506e-36	ENSG00000124299	PEPD	protein-coding
1888.0190598266222	-0.8245477524506998	0.06383819247693646	-12.916213953717335	3.646473057141034e-38	1.208611857109426e-35	ENSG00000065559	MAP2K4	protein-coding
26833.201919140036	0.5742021709303519	0.044590216326779786	12.877312967542169	6.040207377624482e-38	1.9602989693465456e-35	ENSG00000170017	ALCAM	protein-coding
4319.230962946456	-0.798366338066405	0.062145589381201814	-12.846709573695021	8.974713152067339e-38	2.8532261527123473e-35	ENSG00000053438	NNAT	protein-coding
5463.280960926281	-0.6576608541358446	0.05120038572486419	-12.844841788300592	9.193969820755362e-38	2.8644732373545407e-35	ENSG00000121753	ADGRB2	protein-coding
70945.83647291345	-0.39300665376895294	0.03078569470791683	-12.765885502914688	2.5424280609076315e-37	7.765871437807663e-35	ENSG00000113657	DPYSL3	protein-coding
5282.805322571869	-0.7487880139156486	0.058969618756153544	-12.697860859707726	6.076808155297409e-37	1.8204714892927507e-34	ENSG00000112972	HMGCS1	protein-coding
3074.781304642391	-1.1606086912354951	0.09143387186622132	-12.693421677839526	6.431342452784407e-37	1.8903292967825563e-34	ENSG00000150760	DOCK1	protein-coding
28298.60855453237	-0.45937952937234955	0.0364269577289594	-12.610977089836497	1.8370129113105422e-36	5.2994420615547456e-34	ENSG00000134308	YWHAQ	protein-coding
3110.994196838734	0.7553880591889189	0.06007029453438696	12.575068343580378	2.8954979379172216e-36	8.201103068522633e-34	ENSG00000118276	B4GALT6	protein-coding
19432.432951194573	-0.5573878229810908	0.044801955756242115	-12.44114935548169	1.5623940052788537e-35	4.346245323970354e-33	ENSG00000120875	DUSP4	protein-coding
4596.431349078488	-1.1308805044029757	0.0918850753234641	-12.307553761281948	8.248552767246062e-35	2.254315000143143e-32	ENSG00000167244	IGF2	protein-coding
2461.577158904545	-0.7146782444385595	0.058092437827918855	-12.302431627255444	8.788785414866431e-35	2.3605465378067116e-32	ENSG00000164938	TP53INP1	protein-coding
5574.083877255439	-0.6533421287975738	0.05434538548005126	-12.022035045411506	2.7218422687231242e-33	7.186586247825225e-31	ENSG00000055163	CYFIP2	protein-coding
1845.3221413589656	-0.9655114293504666	0.08036209046836536	-12.014513606145444	2.981185766341691e-33	7.74015197801181e-31	ENSG00000160714	UBE2Q1	protein-coding
3396.9122100536697	-0.5995036426310906	0.050522660327800714	-11.866034740478746	1.776919162884132e-32	4.5378437244932804e-30	ENSG00000101474	APMAP	protein-coding
4649.831817024906	-0.6654643527920097	0.05640254967311833	-11.798479973843675	3.974253915604091e-32	9.98563346730331e-30	ENSG00000100234	TIMP3	protein-coding
14899.655245392623	-0.5472112483198648	0.04651428185964695	-11.764370564099648	5.956895143846364e-32	1.4729605166799786e-29	ENSG00000168280	KIF5C	protein-coding
20723.451379786347	0.44225324587563714	0.03770931944599935	11.727956175633306	9.164483026334787e-32	2.2306924466288019e-29	ENSG00000008196	TFAP2B	protein-coding
7823.896032502278	0.5564249975470501	0.04755876725906086	11.699735498107144	1.278513811450335e-31	3.0641058699651257e-29	ENSG00000138448	ITGAV	protein-coding
3451.254442577886	-0.6015100934554278	0.05147404480466999	-11.68569704863869	1.50836998366211e-31	3.56021024325581e-29	ENSG00000151692	RNF144A	protein-coding
2445.6220383935474	-0.7853075253251979	0.06743206591897888	-11.645906359576204	2.4074843951205607e-31	5.597580881669865e-29	ENSG00000157193	LRP8	protein-coding
3895.143853699292	-0.6031796850452404	0.05192411392649162	-11.616561929186796	3.3952630327814316e-31	7.778148165392522e-29	ENSG00000143815	LBR	protein-coding
85355.33015813606	0.3642037332300062	0.03150638376145272	11.55968060274821	6.595364250256931e-31	1.4890229607319199e-28	ENSG00000198763	ND2	protein-coding
2572.373781792841	-0.6879636908954351	0.059565909868265356	-11.549621124178584	7.414657616455647e-31	1.6500790907020866e-28	ENSG00000146281	PM20D2	protein-coding
5353.173629851113	0.5894273233406385	0.051328568200316255	11.483416428845697	1.5983732951908705e-30	3.506966083448363e-28	ENSG00000139645	ANKRD52	protein-coding
16017.655703939368	0.37619983300031473	0.03301176015702797	11.395933788772075	4.3810748533326995e-30	9.47894223128011e-28	ENSG00000182168	UNC5C	protein-coding
1022.1260357765879	-1.1058555758037687	0.09766010989902928	-11.323513530213226	1.0036698582937937e-29	2.1418039797946188e-27	ENSG00000167889	MGAT5B	protein-coding
1319.9672315048615	-0.822185488901939	0.07330130523787375	-11.216519081533727	3.3832682736218164e-29	7.122236914389278e-27	ENSG00000155265	GOLGA7B	protein-coding
5523.336157145541	-0.5604849862504349	0.05026244087181679	-11.151169273291513	7.067152241931387e-29	1.4678946349974287e-26	ENSG00000264364	DYNLL2	protein-coding
26548.54545251997	0.5600498509076689	0.05053859837876317	11.081626101111018	1.5404901060465323e-28	3.1575993252622213e-26	ENSG00000122691	TWIST1	protein-coding
27420.963773491323	-0.34166159557516596	0.030887279751635185	-11.061563152290168	1.9270939363058055e-28	3.898736277892446e-26	ENSG00000111669	TPI1	protein-coding
1245.3341631339144	-0.8946119277100466	0.08097771875753884	-11.047630649965182	2.2507687808739467e-28	4.495189239545429e-26	ENSG00000169093	ASMTL	protein-coding
9770.958140269593	0.4375840354752077	0.03993427419834924	10.957605822551699	6.109426488401681e-28	1.2047170359028024e-25	ENSG00000127483	HP1BP3	protein-coding
11335.00431848772	-0.47991137843265164	0.04383234626073554	-10.948795110759338	6.733734615008929e-28	1.3112264729076136e-25	ENSG00000154229	PRKCA	protein-coding
41116.160300139825	-0.4019162428986489	0.036851842714357035	-10.906272612035956	1.0757731156966303e-27	2.0689374810274204e-25	ENSG00000125354	SEPTIN6	protein-coding
7451.971359884484	0.5764828552969699	0.052878085924354626	10.902112760315573	1.1261162135426246e-27	2.139346143239879e-25	ENSG00000134853	PDGFRA	protein-coding
2360.1833753395795	1.0963008421700917	0.10072226583020269	10.884394161845332	1.3680524481836977e-27	2.567653137085017e-25	ENSG00000134909	ARHGAP32	protein-coding
2165.418855980046	-0.6770887667705936	0.06223410082758245	-10.879706748659324	1.4402555832976278e-27	2.670988271025053e-25	ENSG00000143653	SCCPDH	protein-coding
43654.43989269649	0.4021492405327996	0.03714496280260534	10.826481175116237	2.5787556829891573e-27	4.726100709365306e-25	ENSG00000026025	VIM	protein-coding
1634.5223560691138	-0.880344991694483	0.08194602822095451	-10.742985484552978	6.394255867825571e-27	1.1582525338254271e-24	ENSG00000280789	PAGR1	protein-coding
2798.2957839772675	0.5933032004644532	0.0556206478465195	10.66695954534049	1.4530338143801067e-26	2.6017656046452073e-24	ENSG00000100485	SOS2	protein-coding
8694.128250667627	-0.6611616153457658	0.06245775927159504	-10.58574023558436	3.470268435073145e-26	6.143163827451075e-24	ENSG00000118004	COLEC11	protein-coding
2401.4860790822063	0.7274476709985017	0.0690726025324398	10.531638367858768	6.175023205132297e-26	1.0808372077477632e-23	ENSG00000155011	DKK2	protein-coding
4791.2390677014355	0.5047647714136486	0.048508630411023775	10.405669406385444	2.3360837220813856e-25	4.04350135806487e-23	ENSG00000113721	PDGFRB	protein-coding
22228.27569246205	-0.31754079022242737	0.030524480116911463	-10.40282386485267	2.406925685078752e-25	4.120339376061187e-23	ENSG00000124422	USP22	protein-coding
2334.9691661340057	-0.706561102389871	0.06793755156199924	-10.400155527316425	2.475288528767676e-25	4.1913092066459634e-23	ENSG00000078804	TP53INP2	protein-coding
1775.9476547977424	-0.7080123100091649	0.06820580203629417	-10.380529058692282	3.0408531998958176e-25	5.0935925965566716e-23	ENSG00000116329	OPRD1	protein-coding
7844.249080443368	-0.499153472662999	0.048416783103370636	-10.309513368480058	6.382366956857554e-25	1.0577075792970954e-22	ENSG00000165533	TTC8	protein-coding
26532.686577912955	-0.33071258174806684	0.03228792875171626	-10.242607517228489	1.2774622835790653e-24	2.094769205641545e-22	ENSG00000108424	KPNB1	protein-coding
3174.881401626896	0.5719040195834212	0.05635629795464195	10.148005464157972	3.382046416517786e-24	5.488074903803549e-22	ENSG00000168615	ADAM9	protein-coding
1020.6712224845304	-0.8431301077338202	0.08366596745527408	-10.077336501063451	6.958686294180524e-24	1.1175506710386001e-21	ENSG00000165169	DYNLT3	protein-coding
6350.111319771137	-0.5309531436655506	0.05278081768013068	-10.059585413839235	8.334859768206154e-24	1.3249025047868925e-21	ENSG00000134250	NOTCH2	protein-coding
3632.1709798115153	-0.5361525857558688	0.05331183242443746	-10.056915348310243	8.563965425993677e-24	1.3475702364255505e-21	ENSG00000183160	TMEM119	protein-coding
3584.3340614601066	-0.5436373073895534	0.054193706225310175	-10.031373479595267	1.109621913263165e-23	1.7285690164813582e-21	ENSG00000198722	UNC13B	protein-coding
2556.8586131414067	-0.7415929523522112	0.07393607744109616	-10.030190646008073	1.1229956134082813e-23	1.732081749076654e-21	ENSG00000136247	ZDHHC4	protein-coding
1179.5284101948857	-0.883369526920062	0.08905361470185669	-9.919524658010817	3.4238281819845244e-23	5.229058374407345e-21	ENSG00000132821	VSTM2L	protein-coding
919.344644482256	-1.0117340655266085	0.1022494975204046	-9.89475831237909	4.38668709192155e-23	6.63454480756834e-21	ENSG00000160867	FGFR4	protein-coding
6941.34653567576	-0.40638460666302467	0.041176393827949354	-9.869358845775913	5.65247465595983e-23	8.466754826013677e-21	ENSG00000159164	SV2A	protein-coding
7537.1072862831315	-0.40191283120993804	0.04089433017497742	-9.828082022379279	8.5226400170183294e-23	1.2644351065248717e-20	ENSG00000188647	PTAR1	protein-coding
4331.536227338984	0.7447110849723919	0.0759457129186582	9.805834409244616	1.0626506838961002e-22	1.5616955050691932e-20	ENSG00000109171	SLAIN2	protein-coding
1540.4521290478317	0.8099287907322974	0.08339871585262665	9.711525920417259	2.6927524426452563e-22	3.920345565563346e-20	ENSG00000013364	MVP	protein-coding
4413.1910331440495	-0.473569503186866	0.04890186758723699	-9.684078063931938	3.523732726384858e-22	5.082658186261418e-20	ENSG00000140941	MAP1LC3B	protein-coding
9501.814741996808	-0.402242707867748	0.041656384638165365	-9.656207838526997	4.626744248796697e-22	6.612424028234399e-20	ENSG00000139970	RTN1	protein-coding
2952.1054474588354	-0.6186057311628644	0.06417818865619511	-9.63887800693095	5.478346649170908e-22	7.758334918253129e-20	ENSG00000006283	CACNA1G	protein-coding
5956.069689741706	-0.4228032998457307	0.043986290190472926	-9.612160925935655	7.1042121384866615e-22	9.97021772012119e-20	ENSG00000148358	GPR107	protein-coding
2551.4490070771717	-0.5405479826124776	0.05660646285154449	-9.549227338760117	1.3066715932239984e-21	1.8174401856467365e-19	ENSG00000175470	PPP2R2D	protein-coding
106246.93370488763	0.31122592549690736	0.03269377697800762	9.51942400861981	1.741415731157127e-21	2.4006879876075863e-19	ENSG00000198727	CYTB	protein-coding
15018.417456738653	-0.32503140981055395	0.034309599422614336	-9.473483085795442	2.7066458671358003e-21	3.6986078349334644e-19	ENSG00000080644	CHRNA3	protein-coding
9416.867683931066	-0.3758721560257054	0.03972442457312263	-9.461991207294135	3.021339799418613e-21	4.0774643492474226e-19	ENSG00000171604	CXXC5	protein-coding
235.85666950410587	11.381308954715841	1.2029104115367428	9.461476802895058	3.0362425504731094e-21	4.0774643492474226e-19	ENSG00000184545	DUSP8	protein-coding
3401.462700113451	-0.48947014508457115	0.052025939189328275	-9.408194310598295	5.047330253869465e-21	6.720282965365686e-19	ENSG00000118965	WDR35	protein-coding
1737.0012608982756	-0.6000719960194676	0.06379344158426543	-9.406484132492306	5.130102115561419e-21	6.772604301374219e-19	ENSG00000143164	DCAF6	protein-coding
14067.907004541616	-0.3424003235768154	0.036454390605030924	-9.392567476620007	5.8555172604815546e-21	7.665314948216946e-19	ENSG00000227051	C14orf132	protein-coding
6922.94624616124	-0.671380348841392	0.07212561203944041	-9.308487371646308	1.2966575212445696e-20	1.6832775721623254e-18	ENSG00000106236	NPTX2	protein-coding
8164.601306052989	-0.4584156475735598	0.04934994417835228	-9.289081380048394	1.556256396146725e-20	2.0035836478655932e-18	ENSG00000198879	SFMBT2	protein-coding
1846.3300236094778	0.63100890121143	0.06846094635065843	9.217063666917324	3.053472428600741e-20	3.8989338928477326e-18	ENSG00000126522	ASL	protein-coding
2358.9027975533145	-0.6023055397145312	0.06654648120927743	-9.050899893870904	1.4179489684516143e-19	1.7958381325641665e-17	ENSG00000183955	KMT5A	protein-coding
3691.715147766531	-0.56702617697116	0.06268321709633028	-9.045901012064615	1.4843590242904384e-19	1.8647858774513266e-17	ENSG00000198794	SCAMP5	protein-coding
4315.416282707492	-0.583184490866214	0.06456720003445726	-9.032209706398742	1.6823964013362247e-19	2.0966696912012566e-17	ENSG00000110514	MADD	protein-coding
1781.1241273792925	-0.6638118937135419	0.0735241858048625	-9.028483436393808	1.7406729726797975e-19	2.1520796482861815e-17	ENSG00000112541	PDE10A	protein-coding
295.50994594249784	1.9395945673823352	0.21508294189751492	9.017891192443027	1.9174463747211965e-19	2.3519668996383308e-17	ENSG00000234127	TRIM26	protein-coding
2193.4874005566403	-0.6177525502483068	0.06867613241975835	-8.995156373578448	2.3589615996172694e-19	2.870929984284205e-17	ENSG00000155850	SLC26A2	protein-coding
1454.806891938194	0.7757162643469411	0.08656242979829289	8.961350393635081	3.2072612957287703e-19	3.873078795725797e-17	ENSG00000163584	RPL22L1	protein-coding
6254.000114730489	0.41851211688531337	0.04671111116897147	8.959583842298235	3.2590607434205593e-19	3.905357558538883e-17	ENSG00000174695	TMEM167A	protein-coding
2322.89041424146	-0.6278529904333804	0.07050853029915706	-8.904638740440268	5.356018541934366e-19	6.36916464475218e-17	ENSG00000082684	SEMA5B	protein-coding
965.043145255564	-1.0591772947383913	0.11951459510390447	-8.862325926114346	7.836210940215191e-19	9.247916214141837e-17	ENSG00000242593	NA	NA
1630.6242133790734	1.2241509518393014	0.1383561081502347	8.847827307414942	8.923960034621919e-19	1.0452439805965433e-16	ENSG00000114648	KLHL18	protein-coding
1767.9358002974323	-0.667446001855401	0.07546832356466003	-8.844054966764224	9.230616951911495e-19	1.073093663260278e-16	ENSG00000107566	ERLIN1	protein-coding
4633.64016997972	-0.5550734814160675	0.062826473583317	-8.83502526494599	1.0007563904003982e-18	1.154798744419067e-16	ENSG00000083857	FAT1	protein-coding
5510.8154588800135	-0.8030594533825759	0.09106018783223845	-8.818996232053292	1.154903260590534e-18	1.3228737495205395e-16	ENSG00000166326	TRIM44	protein-coding
6945.280847632186	-0.5030972381221837	0.05716173826132389	-8.80129354748093	1.3524806551985797e-18	1.537879098298064e-16	ENSG00000131558	EXOC4	protein-coding
5044.64563601401	0.4244623138093613	0.048251365799004006	8.796897388925785	1.4065081152213514e-18	1.5877234361534937e-16	ENSG00000111145	ELK3	protein-coding
2724.85482401782	-0.6073847934948616	0.06917138247746962	-8.780868210819667	1.6221753583573843e-18	1.8180034339921824e-16	ENSG00000178980	SELENOW	protein-coding
6940.487443948975	0.42635513738346337	0.048618658905905845	8.769372643712984	1.796645043589054e-18	1.999152606359306e-16	ENSG00000177565	TBL1XR1	protein-coding
5109.122140116649	0.4793289268866013	0.054918072791030066	8.728072609366793	2.590493292919e-18	2.862035781354055e-16	ENSG00000105894	PTN	protein-coding
8989.62727923778	0.4051174549058067	0.04643477152971346	8.724441653526245	2.6749716835897404e-18	2.9345569638704913e-16	ENSG00000132182	NUP210	protein-coding
2159.5148079471264	-0.5557181665349883	0.06382761111085805	-8.706548104546751	3.1326904240548784e-18	3.4126609388760065e-16	ENSG00000181191	PJA1	protein-coding
847.3450056235295	-0.8001073360360811	0.09201642273293348	-8.695266695579937	3.4601608671549554e-18	3.7432212492041596e-16	ENSG00000156026	MCU	protein-coding
1553.403140765548	0.6251196179704404	0.07201407020395348	8.680520573271556	3.939614545022336e-18	4.2325045091281343e-16	ENSG00000145819	ARHGAP26	protein-coding
1561.4012633695352	-0.6094673622513384	0.07023671143147281	-8.677333403429225	4.051560730656532e-18	4.322959798778592e-16	ENSG00000119471	HSDL2	protein-coding
8159.050695817875	-0.40342724458415896	0.0467245871880683	-8.634153212747465	5.916365847199141e-18	6.269737902562464e-16	ENSG00000115884	SDC1	protein-coding
1490.4344578220218	-0.6988923538550735	0.08120602353798122	-8.606410256354833	7.538411728110191e-18	7.934687695979767e-16	ENSG00000122870	BICC1	protein-coding
5159.182274586356	0.41514665803165884	0.0484845487514188	8.56245275500291	1.1049132369459186e-17	1.150123446136145e-15	ENSG00000106771	TMEM245	protein-coding
2736.446844243736	0.5622448023111108	0.06566601571110182	8.562188465715835	1.1074497170395542e-17	1.150123446136145e-15	ENSG00000255690	TRIL	protein-coding
14559.884239275312	-0.32676727914297227	0.03822845642842312	-8.547749756906706	1.2551147864598534e-17	1.294846234666993e-15	ENSG00000134138	MEIS2	protein-coding
5675.505899680931	0.39745394607004747	0.0466298866786989	8.523588075791084	1.5468505556484672e-17	1.5853182865718304e-15	ENSG00000198876	DCAF12	protein-coding
11299.828446148114	-0.35968961046502074	0.04230814793566808	-8.501662871462702	1.86893921210305e-17	1.902897715434073e-15	ENSG00000086061	DNAJA1	protein-coding
3751.893224950948	-0.4941406553840671	0.05838330840832374	-8.463731653028715	2.5895528465640875e-17	2.619484041803594e-15	ENSG00000033867	SLC4A7	protein-coding
2926.7074969816895	-0.49878477529189247	0.058969857307839324	-8.458300529507728	2.7130220003092708e-17	2.726674627149537e-15	ENSG00000145687	SSBP2	protein-coding
3208.4893261897564	-0.4452360285174096	0.05268020222767368	-8.451676525332712	2.871492529209696e-17	2.867442988463375e-15	ENSG00000284984	RHOU	protein-coding
3634.6376447415887	-0.424117000948773	0.05033413514995119	-8.426031353976374	3.5758640247282076e-17	3.548077055873632e-15	ENSG00000100596	SPTLC2	protein-coding
418.31081851366775	-1.0387523254646185	0.12336720107455403	-8.420003991473173	3.764714821367835e-17	3.711818195396717e-15	ENSG00000179284	DAND5	protein-coding
1995.6315445688372	-0.6279575726454355	0.0749956873063746	-8.373249118713783	5.605094016171905e-17	5.4915820493035175e-15	ENSG00000105186	ANKRD27	protein-coding
7600.790738153167	-0.39344748756182457	0.047104351867489465	-8.352678085214768	6.673234213852902e-17	6.497227661462531e-15	ENSG00000169926	KLF13	protein-coding
257.2359318434596	1.434716258594145	0.17206761069965204	8.338096012145337	7.54962644567771e-17	7.304849737314743e-15	ENSG00000048740	CELF2	protein-coding
3981.573414503693	0.3760864375712516	0.04517667693751938	8.324791973774206	8.44769628133968e-17	8.12334646115491e-15	ENSG00000114770	ABCC5	protein-coding
3690.9863189218813	-0.38593230526075	0.04643562388411364	-8.3111256612788509	9.479847254701666e-17	8.950124880832881e-15	ENSG00000106462	EZH2	protein-coding
2030.7410678957988	-0.5048658587310307	0.06074415867304763	-8.311348280390972	9.462076885992838e-17	8.950124880832881e-15	ENSG00000166426	CRABP1	protein-coding
3930.9512846697007	-0.3960868196222852	0.04765097262014862	-8.312250471353545	9.390396006820856e-17	8.950124880832881e-15	ENSG00000265808	SEC22B	protein-coding
9873.648238002463	-0.39418135089855955	0.04751282252629409	-8.296315182715476	1.073903823410221e-16	1.0077875759689412e-14	ENSG00000288257	STRA6	protein-coding
10401.58028646511	-0.5044429812599321	0.060888024683374356	-8.284765089409637	1.1834243776896528e-16	1.1039152668053538e-14	ENSG00000117152	RGS4	protein-coding
4226.86841248615	0.3931248906724401	0.04754949299248206	8.267698895014426	1.3656928407158272e-16	1.2663549448018547e-14	ENSG00000162129	CLPB	protein-coding
7133.233686602521	-0.46565418536843045	0.05633584916811877	-8.265681484250184	1.3889895728307032e-16	1.2803360689678516e-14	ENSG00000141753	IGFBP4	protein-coding
1840.4956979037888	-0.5684017836334714	0.06887029488400982	-8.253221284891607	1.5418118804622436e-16	1.4128438514024018e-14	ENSG00000152270	PDE3B	protein-coding
4142.912736767305	-0.4503503846606464	0.05461543059034356	-8.245845172193368	1.6399690202325516e-16	1.494002186969748e-14	ENSG00000111276	CDKN1B	protein-coding
798.5352582554948	-0.9250097863535036	0.11271635538280027	-8.20652675658331	2.276788264043487e-16	2.0620818358877583e-14	ENSG00000161082	CELF5	protein-coding
331.32297471295686	-1.5437969286288535	0.18813610702950603	-8.205745048114206	2.291652606050049e-16	2.0635470691935067e-14	ENSG00000076344	RGS11	protein-coding
3655.1840608298567	-0.39367412363878074	0.048089853676478805	-8.186220034837211	2.6955870097421395e-16	2.4133249676875318e-14	ENSG00000134717	BTF3L4	protein-coding
4098.986930001071	0.46650884073310295	0.05700743030090023	8.183298883509508	2.7617702805643445e-16	2.4584489960360778e-14	ENSG00000137558	PI15	protein-coding
